[quest]|en|fi|pt|ru|zh|ja|ko|de
quest_name_18|Learn to mine|Louhitaan|Aprenda a minerar|Научись добывать руду|学习挖矿|鉱山を学ぶ|광산 배우기|Lerne meine
quest_description_18|Mine copper ore on normal difficulty.|Louhi kuparimalmia normaalilla vaikeusasteella.|Mina de minério de cobre na dificuldade normal.|Добыча медной руды на нормальной сложности.|铜矿开采难度一般。|銅鉱石を通常の難易度で鉱山します。|정상적인 난이도에서 광산 구리 광석.|Minen Sie Kupfererz auf normalem Schwierigkeitsgrad.
quest_objective_18_1|Copper ore|Kuparimalmia|Minério de cobre|Медная руда|铜矿|銅鉱石|구리 광석|Kupfererz
||||||||
quest_name_19|Chaos Tower|Kaaositorni|Torre do Caos|Башня Хаоса|混沌塔|カオスタワー|카오스 타워|Chaosturm
quest_description_19|Solve the mystery of the Chaos Tower.|Ratkaise kaaostornin mysteeri.|Resolva o mistério da Torre do Caos.|Разгадайте тайну Башни Хаоса.|解决混沌塔的奥秘。|カオスタワーの謎を解き明かそう。|카오스 타워의 수수께끼를 풀어보세요.|Löse das Geheimnis des Chaosturms.
quest_objective_19_1|Towers cleared|Tornia läpäisty|Torres limpas|Башни очищены|清除塔楼|タワーがクリアされました|타워가 삭제되었습니다.|Türme geräumt
quest_objective_19_2|Find Kukkonen|Löydä Kukkonen|Encontre Kukkonen|Найдите Кукконена|寻找库科宁|クッコネンを探す|Kukkonen 찾기|Finde Kukkonen
||||||||
[HALLOWEEN EVENT]||||||||
quest_name_100|Trick or Treat!|Karkki tai kepponen!|Doçura ou travessura!|Кошелек или жизнь!|不给糖果就捣蛋！|トリック・オア・トリート！|먹을 걸 안 주면 장난칠 거야!|Suesses oder Saures!
quest_description_100|You must collect a lot of candy. A. Lot.|Kerää karkkia. Paljon. Karkkia.|Você deve coletar muitos doces. Muito.|Вы должны собрать много конфет. Много.|你得找一大堆糖。一 大 堆。|あなたはキャンディをたくさん集めなければなりません。たーくーさーん。|사탕을 많이 모으십시오. 무조건. 많이.|Sammle Suessigkeiten. Viele. Suessigkeiten.
quest_objective_100_1|Candy collected|Karkkia kerätty.|Doces coletados.|Конфеты собраны.|已收集糖果。|キャンディーが集められました。|모은 사탕.|Suessigkeiten gesammelt.
||||||||
quest_name_101|Find the Candy Apples!|Etsi karkkiomenat!|Encontre as maçãs de doces!|Найти конфеты яблоки!|找到苹果糖！|リンゴのキャンディーを見つけよう！|사과 사탕을 찾아라!|Suche nach kandierten aepfeln!
quest_description_101|Find a Candy Apple in each Act.|Löydä karkkiomena jokaisesta tasosta.|Encontre uma Candy Candy em cada ATO.|Найдите конфетное яблоко в каждом акте.|在每个章节找到苹果糖。|各幕のリンゴキャンディーを見つけましょう。|모든 액트에 숨겨져 있는 사과 사탕을 찾으십시오.|Finde einen kandierten Apfel in jedem Akt.
quest_objective_101_1|Act I Apple found|Taso I omena löydetty.|Maçã do ATO I encontrada.|Акт I Яблоко найдено.|章节 I的苹果糖找到了。|幕 I のリンゴキャンディーが見つかりました。|발견한 액트 I 사과.|Akt I: Apfel gefunden.
quest_objective_101_2|Act II Apple found|Taso II omena löydetty.|Maçã do ATO II encontrada.|Акт II Яблоко найдено.|章节II的苹果糖找到了。|幕 II のリンゴキャンディーが見つかりました。|발견한 액트 II 사과.|Akt II: Apfel gefunden.
quest_objective_101_3|Act III Apple found|Taso III omena löydetty.|Maçã do ATO III encontrada.|Акт III Яблоко найдено.|章节III的苹果糖找到了。|幕 III のリンゴキャンディーが見つかりました。|발견한 액트 III 사과.|Akt III: Apfel gefunden.
quest_objective_101_4|Act IV Apple found|Taso IV omena löydetty.|Maçã do ATO IV encontrada.|Акт IV Яблоко найдено.|章节IV的苹果糖找到了。|幕 IV のリンゴキャンディーが見つかりました。|발견한 액트 IV 사과.|Akt IV: Apfel gefunden.
||||||||
quest_name_102|Trick them all!|Keppostelua!|Engane todos eles!|Обмани их всех!|骗过他们！|奴らを騙せ！|모두 속여주지!|Streiche spielen!
quest_description_102|Use the Candy Basket to trick enemies.|Käytä karkkikoreja houkutellaksesi vihollisia.|Utilizar a cesta de doces para enganar os inimigos.|Используйте корзину с конфетами, чтобы обмануть врагов.|用糖果篮欺骗敌人。|キャンディバスケットを使って敵を騙しましょう。|사탕 바구니로 적들을 속이십시오.|Verwende Suessigkeiten, um Gegner anzulocken.
quest_objective_102_1|Enemies lured into baskets|Vihollista houkuteltu koreihin.|Inimigos atraídos para cestas.|Враги заманивают в корзины.|上钩的敌人。|敵が小箱に誘い込まれました。|유인당한 적.|Gegner in Koerbe gelockt.
||||||||
quest_name_103|Death has the answer|Kuolemalla on vastaus|A morte tem a resposta|Смерть имеет ответ|死亡就是答案|死は答えである|죽음에는 답이 있다|Der Tod hat die Antwort
quest_description_103|Kill Candy Grim Reaper in Act II.|Surmaa Karkkiviikatemies tasossa II.|Mate o Ceifador de doces no ATO II.|Убейте леденца Мрачного Жнеца в Акте II.|杀死在章节II的糖果死神。|幕 II でキャンディ・グリム・リーパーを殺してください。|액트 II에서 사탕 사신을 죽이십시오.|Besiegt den kandierten Gevatter Tod in Akt II.
quest_objective_103_1|Candy Grim Reaper killed|Karkkiviikatemies surmattu.|Ceifador dos Doces morto.|конфеты мрачный жнец убит.|已杀死糖果死神。|キャンディー・グリム・リーパーが殺されました。|처치한 사탕 사신.|Kandierter Gevatter Tod getoetet.
||||||||
quest_name_104|Kill the Pumpkin King|Surmaa Kurpitsakuningas|Mate o rei da abóbora|Убить тыкву короля|杀死南瓜国王|パンプキン・キングを殺す|호박 왕 죽이기|Toete den Kuerbiskoenig
quest_description_104|Kill Damien the Pumpkin King in Act IV.|Surmaa Kurpitsakuningas Damien tasossa IV.|Mate Damien, o Rei da Abóbora, no ATO IV.|Убейте Дэмиена, Тыквенного Короля в Акте IV.|杀死章节IV的南瓜国王达米安|幕 IV でパンプキン・キングのダミアンを殺してください。|액트 IV에서 호박 왕 데미언을 죽이십시오.|Toete Damien den Kuerbiskoenig im Akt IV.
quest_objective_104_1|Damien the Pumpkin King killed|Kurpitsakuningas Damien surmattu.|Damien, o rei da abóbora morto.|Дэмиен, Тыквенный Король, убит.|已杀死南瓜国王达米安。|パンプキン・キングのダミアンが殺されました。|처치한 호박 왕 데미언.|Damien der Kuerbiskoenig getoetet.
||||||||
quest_name_110|Lost Skull|Kadonnut kallo|Caveira perdida|Потерянный череп|骷髅头|失われた頭蓋骨|잃어버린 해골|Verlorener Schaedel
quest_description_110|Take this snoring skull back to Town of Inoya and hang it somewhere.|Vie kuorsaava kallo Inoyan kylään ja ripusta se jonnekin.|Leve esse crânio ressonante de volta à cidade de Inoya e pendure-o em algum lugar.|Отнеси этот храпящий череп обратно в город Иною и повесь его где-нибудь.|将这个打头骨的 骷髅带回到伊诺亚镇， 并将其挂在某个地方。|このいびきを かく頭蓋骨をイ ノヤの町に戻し、 どこかに掛 けてください。|이 코골이 두개골을 이노 야 마을로 가져가 어딘가에 매달 아라.|Bring diesen Schnarchschaedel zurueck zur Stadt von Inoya und haeng ihn irgendwo auf.
quest_objective_110_1|Skull hanged|Kallo ripustettu.|Caveira enforcada.|Повешен череп.|骷髅吊死。|頭蓋骨が絞首刑に。|해골 교수형.|Schaedel aufgehaengt.
||||||||
quest_name_111|Hanging Straight|Roiku suorassa|Pendurado reto|Висеть прямо|直吊|まっすぐぶら下げ|똑바로 매달려|Gerade gehaengt
quest_description_111|Find the skeleton's spine and pelvis from any boss.|Löydä luurangon selkäranka ja lantio miltä tahansa pomolta.|Encontre a coluna e a pélvis do esqueleto de qualquer chefe.|Найдите позвоночник скелета и таз у любого босса.|从任何老板那里 找到骨骼的脊椎和骨盆。|ボスからスケル トンの脊椎と骨 盤を見つけます。|보스로부터 골격의 척추와 골반을 찾으십시오.|Finde das Rueckgrat und Becken von jedem Boss.
quest_objective_111_1|Spine found|Selkäranka löydetty.|Coluna encontrada.|Позвоночник найден.|发现脊椎。|脊椎が見つかりました。|척추 발견.|Vollstaendige Wirbelsaeule gefunden.
||||||||
quest_name_112|Main Hand|Oikea käsi|Mão principal|Основная рука|主手|利き手|주요 손|Die Rechte Hand
quest_description_112|Collect the skeleton's right hand from any boss.|Löydä luurangon oikea käsi miltä tahansa pomolta.|Colete a mão direita do esqueleto de qualquer chefe.|Соберите правую руку скелета от любого босса.|从任何老板那里 收集骷髅的右手。|ボスからスケルト ンの右手を集める。|보스로부터 해골의 오른손을 모으십시오.|Sammle die rechte Hand von jedem Boss.
quest_objective_112_1|Hand found|Käsi löydetty.|Mão encontrada.|Рука найдена.|发现手。|手が見つかりました。|손을 찾았습니다.|Rechte Hand gefunden.
||||||||
quest_name_113|Secondary Hand|Vasen käsi|Mão secundária|Вторичная рука|次要手|セカンダリーハンド|이차 손|Die Linke Hand
quest_description_113|Collect the skeleton's left hand from any boss.|Löydä luurangon vasen käsi miltä tahansa pomolta.|Colete a mão esquerda do esqueleto de qualquer chefe.|Соберите левую руку скелета от любого босса.|从任何老板那里 收集骷髅的左手。|ボスからスケルト ンの左手を集めてください。|보스로부터 해골의 왼손을 수집하십시오.|Sammle die linke Hand von jedem Boss.
quest_objective_113_1|Hand found|Käsi löydetty.|Mão encontrada.|Рука найдена.|发现手。|手が見つかりました。|손을 찾았습니다.|Linke Hand gefunden.
||||||||
quest_name_114|Footwork|Jalkatyötä|Trabalho pé|работа ног|步法|フットワーク|발놀림|Fussarbeit
quest_description_114|Collect the skeleton's right foot from any boss.|Löydä luurangon oikea jalka miltä tahansa pomolta.|Colete o pé direito do esqueleto de qualquer chefe.|Соберите правую ногу скелета от любого босса.|从任何老板那里 收集骨骼的右脚。|ボスからスケルト ンの右足を集めます。|보스로부터 해골의 오른발을 모으십시오.|Sammle den rechten Fuss von jedem Boss.
quest_objective_114_1|Leg found|Jalka löydetty.|Perna encontrada.|Нога найдена.|找到腿。|足が見つかりました。|다리 발견.|Rechten Fuss gefunden.
||||||||
quest_name_115|Happy Feet|Iloiset jalat|Pés felizes|Счастливые ноги|快乐的脚|ハッピーフィート|해피 피트|Glueckliche Fuesse
quest_description_115|Collect the skeleton's left foot from any boss.|Löydä luurangon vasen jalka miltä tahansa pomolta.|Colete o pé esquerdo do esqueleto de qualquer chefe.|Соберите левую ногу скелета от любого босса.|从任何老板那里 收集骷髅的左脚。|ボスからスケルト ンの左足を集めます。|보스로부터 해골의 왼발을 모으십시오.|Sammle den linken Fuss von jedem Boss.
quest_objective_115_1|Leg found|Jalka löydetty.|Perna encontrada.|Нога найдена.|找到腿。|足が見つかりました。|다리 발견.|Linken Fuss gefunden.
[Halloween dailies]||||||||
quest_name_120|Fill the Pot|Pata täyteen|Encha a panela|Заполните горшок|加满锅|ポットを埋める|냄비를 채우십시오|Fülle den Topf
quest_description_120|Collect ingredients in Act I.|Kerää aineksia tasossa I.|Colete ingredientes no ATO I.|Соберите ингредиенты в акте I.|在第一幕中收集成分。|幕 Iで成分を収集します。|법 I에서 재료를 수집하십시오.|Sammle Zutaten in Akt I.
quest_objective_120_1|Spider legs|Hämähäkin jalat|Pernas de aranha|Паучьи ноги|蜘蛛腿|クモの足|거미 다리|Spinnenbeine
quest_objective_120_2|Maggot's slime|Tuokan lima|O lodo da larva|Слизь личинки|蛆粘液|ウジのスライム|구더기 점액|Madenschleim
quest_objective_120_3|Pumpkin juice|Kurpitsamehu|Suco de abóbora|Тыквенный сок|南瓜汁|かぼちゃジュース|호박 쥬스|Kürbissaft
quest_objective_120_4|Rat ears|Rotan korvat|Orelhas de rato|Крысиные уши|老鼠的耳朵|ラットの耳|쥐 귀|Rattenohren
||||||||
quest_name_121|Kill Gurag|Surmaa Gurag|Matar Gurag|Убей Гурага|杀死古拉格|グラグを殺す|구라 그 처치|Töte Gurag
quest_description_121|Collect Gurag's spirit by using the Soul Box.|Kerää Guragin sielu Sielulaatikon avulla.|Colete o espírito de Gurag usando a caixa da alma.|Соберите дух Гурага, используя Коробку Души.|使用灵魂盒子收 集古拉格的精神。|ソウルボックス を使用して、 グラッグの精神 を収集します。|영혼 상자 유물을 사용하여 구라 그의 영혼을 모으십시오.|Sammle Gurags Geist mit der Seelenbox.
quest_objective_121_1|Gurag's spirit|Guragin sielu|Espírito de Gurag|Дух Гурага|古拉格精神|グラッグの精神|구라 그의 정신|Gurags Geist
||||||||
quest_name_122|Feather party!|Höyhenjuhlat!|Festa de penas!|Вечеринка с перьями!|羽毛派对！|フェザーパーティ！|깃털 파티!|Federparty!
quest_description_122|Find chickens in Act II and collect their feathers.|Löydä kanoja tasosta II ja kerää niiden höyheniä.|Encontre galinhas no ATO II e colete suas penas.|Найдите кур в Акте II и соберите их перья.|在第二幕中找到鸡并收集羽毛。|幕 IIでニワトリを見つけ、羽を集めます。|행위 II에서 닭을 찾아서 깃털을 모으십시오.|Finde Hühner in Akt II und sammle ihre Federn ein.
quest_objective_122_1|Feathers|Höyheniä|Penas|Перья|羽毛|羽毛|깃털|Gefieder
||||||||
quest_name_123|Embarrass Death|Nöyryytä Kuolemaa|Embaraçar a Morte|Смущение Смерти|尴尬死亡|恥ずかしい死|난처한 죽음|Peinlicher Tod
quest_description_123|During the fight throw the chicken mask at the Grim Reaper and kill him.|Tappelun aikana, heitä Kananaamari Viikatemiestä päin ja surmaa hänet.|Durante a luta, jogue a máscara de galinha no Ceifador e mate-o.|Во время боя бросьте Куриную маску в Мрачного Жнеца и убейте его.|在战斗中， 将鸡面具扔向死神， 并杀死他。|戦いの最中に、 死神にチキ ンマスクを 投げて殺し てください。|전투 중에 그림 리퍼에 치킨 마스크를 던져 죽입니다.|Während des Kampfes wirf die Hühnermaske auf Sensenmann und töte ihn.
quest_objective_123_1|Death embarrassed|Kuolema nöyryytetty|Morte envergonhada|Смерть смущена|死亡尴尬|死神は恥ずかしい|부끄러운 죽음|Der Tod ist verlegen
||||||||
quest_name_124|Gathering ingredients|Kerää aineksia|Recolha de ingredientes|Сбор ингредиентов|收集成分|材料を集める|재료 수집|Zutaten sammeln
quest_description_124|Collect the following ingredients in Act III.|Kerää seuraavat ainekset tasosta III.|Colete os seguintes ingredientes no ATO III.|Соберите следующие ингредиенты в акте III.|在第三幕中 收集以下成分。|幕 IIIで次の成分を収集します。|법 III에서 다음 재료를 수집하십시오.|Sammeln Sie die folgenden Zutaten in Akt III.
quest_objective_124_1|Ghost skulls|Haamukallot|Caveiras fantasmas|Призрачные черепа|鬼头骨|ゴーストスカル|유령 두개골|Geisterschädel
quest_objective_124_2|Dust feeder teeth|Tomunsyöjän hampaat|Dentes do alimentador de poeira|Зубы подачи пыли|除尘器齿|ダストフィーダー歯|먼지 피더 이빨|Staubzufuhrzähne
quest_objective_124_3|Mummy bandages|Muumion siteet|Ligaduras de múmia|Мумия бинты|木乃伊绷带|ミイラ包帯|미라 붕대|Mumienbinden
quest_objective_124_4|Spellbook|Loitsukirja|Livro de feitiços|Книга заклинаний|拼写书|魔法書|마법서|Zauberbuch
||||||||
quest_name_125|Anubis' Own Medicine|Anubiksen omaa lääkettä|Medicina Própria de Anúbis|Собственное лекарство Анубиса|阿努比斯自己的药|アヌビス自身の薬|아누비스의 약|Anubis 'eigene Medizin
quest_description_125|Finish Anubis off with the Cursed Book.|Viimeistele Anubis Kirotulla Kirjalla.|Finalize Anubis com o Livro Amaldiçoado.|Прикончи Анубиса с Проклятой Книгой.|用 《被诅咒的书》 结束阿努比斯。|呪われた本でア ヌビスを締めく くってください。|저주받은 책으로 아누비스를 마무리하십시오.|Beende Anubis mit dem verfluchten Buch.
quest_objective_125_1|Anubis killed|Anubis surmattu|Anúbis morto|Анубис убит|阿努比斯被杀|アヌビス殺害|아누비스|Anubis getötet
||||||||
quest_name_126|Suck it!|Imuroi!|Chupe!|Соси это!|吸！|吸いなさい！|빨다!|Saugen Sie es!
quest_description_126|Suck in 30 Damien's heads using the head extractor.|Imuroi 30 Damienin päätä Päänkeräimellä.|Chupe 30 cabeças de Damien usando o extrator de cabeça.|Соси 30 голов Дэмиена с помощью экстрактора.|使用洗头机吸取 30 个达米恩头。|ヘッドエク ストラクタ を使用して 30 のダミアン ヘッドを吸 い込みます。|헤드 추출기를 사용하여 30 개의 데미언 헤드를 빨아들입니다.|Saugen Sie 30 Damien-Köpfe mit dem Kopfextraktor ein.
quest_objective_126_1|Heads extracted|Päätä kerätty|Cabeças extraídas|Извлеченные головы|抽头|抽出された頭|추출 된 헤드|Köpfe extrahiert
[Valhalla dailies]||||||||
quest_name_130|Valhalla daily 1|||||||
quest_description_130|This is the 1 Valhalla daily|||||||
quest_objective_130_1|Daily done|||||||
quest_dialog_130|Someone needs help with something. Will you help?|||||||
||||||||
quest_name_131|Valhalla daily 2|||||||
quest_description_131|This is the 2 Valhalla daily|||||||
quest_objective_131_1|Daily done|||||||
quest_dialog_131|Someone needs help with something. Will you help?|||||||
||||||||
quest_name_132|Valhalla daily 3|||||||
quest_description_132|This is the 3 Valhalla daily|||||||
quest_objective_132_1|Daily done|||||||
quest_dialog_132|Someone needs help with something. Will you help?|||||||
[XMAS EVENT]||||||||
quest_name_200|Sweet annihilation|Ihana tuho|Aniquilação doce|Сладкое уничтожение|甜蜜的毁灭|甘美な消滅|달콤한 전멸|Suesse Vernichtung
quest_description_200|Collect candy canes in Act I.|Kerää karkkitankoja tasossa I.|Colete bastões de doces no ATO I.|Соберите леденцы в Акте I.|在章节I收集拐杖糖。|幕 I のケーンのキャンデーを集めてください。|액트 I에서 지팡이 사탕을 모으십시오.|Sammle Zuckerstangen in Akt I.
quest_objective_200_1|Candy canes collected|Karkkitankoa kerätty.|Bastões de doces coletados.|Конфеты собраны.|已收集拐杖糖。|ケーンのキャンディーが集められました。|모은 지팡이 사탕.|Zuckerstangen gesammelt.
||||||||
quest_name_201|My Grandma made those!|Ne ovat mummoni tekemät!|Minha avó fez isso!|Моя бабушка сделала это!|这些是我奶奶做的！|私のおばあちゃんが作った！|우리 할머니가 만들어 준 거라구!|Meine Oma hat die gemacht!
