[zone]|en|fi|pt|ru|zh|ja|ko|de
Act_1_Pregame|River of Inoya|Inoyan Joki|Rio de Inoya|Река Иноя|以诺亚之河|イノヤ川|이노야의 강|Fluss von Inoya
Act_1_1|Outskirts of Inoya|Inoyan laidalla|Periferia de Inoya|Окраины Инои|伊诺亚郊区/红宝石|イノヤの郊外|미노야 변두리|Außenbezirke von Inoya
Act_1_2|Fields of Battle|Taistelutanner|Campos de batalha|Поле Битвы|战场之地|バトルのフィールド|전장|Schlachtfelder
Act_1_3|The Pumpkin Patch|Kurpitsapelto|O remendo da abóbora|Тыквенное Поле|南瓜地/紫箱子|パンプキン・パッチ（かぼちゃ畑）|호박밭|Der Kürbis Aufnäher
Act_1_4|Dark Woods|Pimeä Metsä|Floresta Negra|Темный Лес|黑暗森林/符文|暗い森|어두운 숲|Dunkler Wald
Act_1_5|King's Garden|Kuninkaan puutarha|Jardim do rei|Королевский Сад|国王的花园|キングのガーデン|왕실 정원|Königsgarten
||||||||
Act_2_1|Crystal Village|Kristallikylä|Vila de Crystal|Кристальная Деревня|水晶村庄/红宝石|クリスタル・ビレッジ|크리스탈 마을|Kristalldorf
Act_2_2|Chilling Lake|Hyytävä järvi|Lago frio|Замерзшее Озеро|寒冷之湖|チリング・レーク（寒冷の湖）|얼어붙은 호수|Kühlender See
Act_2_3|Arctic Tundra|Arktinen tundra|Tundra ártica|Арктическая Тундра|北极冻土圈|北極ツンドラ|북극 툰드라|Arktische Tundra
Act_2_4|Snowy Mountains|Lumivuoret|Montanhas nevadas|Снежные Горы|雪山|雪山|설산|Verschneite Berge
Act_2_5|The Glacial Trail|Jäätikön Polku|Trilha Glacial|Ледниковая тропа|冰川足迹/钥匙|氷河トレイル|빙하 흔적|Gletscherweg
||||||||
Act_3_1|Mos'Arathim Village|Mos'Arathim kylä|Vila de Mos'Arathim|Деревня Мос'Арасим|莫斯阿斯玛村庄|モスアスマ村落|모스'아라팀 마을|Mos'Arathim Dorf
Act_3_2|Dry Hills|Kuivat kukkulat|Colinas de Dry|Сухие Холмы|干燥丘陵/羊头|ドライ・ヒルズ|메마른 언덕|Trockene Hügel
Act_3_3|Mos'Arathim Desert|Mos'Arathim aavikko|Deserto de Mos'Arathim|Пустыня Мос'Арасим|莫斯阿斯玛沙漠/令牌和钥匙|モスアスマ砂漠|모스'아라팀 사막|Mos'Arathim-Wüste
Act_3_4|Pyramid Level 1|Pyramidi taso 1|Pirâmide Nível 1|Пирамида, Уровень 1|金字塔1层/令牌和钥匙|ピラミッドの1階|피라미드 1층|Pyramide Stufe 1
Act_3_5|Pyramid Level 2|Pyramidi taso 2|Pirâmide Nível 2|Пирамида, Уровень 2|金字塔2层|ピラミッドの2階|피라미드 2층|Pyramide Stufe 2
||||||||
Act_4_1|Old Mining Village|Vanha kaivoskylä|Velha Aldeia de Mineração|Старая шахтерская деревня|旧矿村/箱子|旧い鉱業村|오래된 광산 마을|Altes Bergbau-Dorf
Act_4_2|The Highland Mines|Ylängön kaivos|As minas de Highland|Горные Шахты|高地矿场|高原鉱区|고지 광산|Die Highland Minen
Act_4_3|Corrupted Cave|Korruptoitunut luola|Caverna Corrompida|Оскверненная пещера|腐化洞穴/矿石箱|壊れた洞窟|타락한 동굴|Verderbte Höhle
Act_4_4|The Nightmare|Painajainen|O pesadelo|Кошмар|梦魇|ナイトメア|나이트메어|Der Alptraum
Act_4_5|The Devil's Breach|Paholaisen aukko|A Violação do Diabo|Дьявольский Разлом|恶魔突破口/燃烧城材料|悪魔の突破口|악마의 골짜기|Teufelsbruch
||||||||
Act_5_1|Mt. Fuji|Fuji vuori|Mt. Fuji|Гора Фудзи|富士山/矿石|富士山|후지산|Fuji Berg
Act_5_2|Misty Swamp|Sumuinen suo|Pântano enevoado|Туманное Болото|迷雾沼泽|ミスティ・スワンプ|안개 낀 늪|Nebliger Sumpf
Act_5_3|Fuji Coast|Fujin rannikko|Costa Fuji|Побережье реки Фудзи|富士海岸/羊头|富士海岸|후지 해변|Fuji-Küste
Act_5_4|Sea of Karponia|Karponian meri|Mar de Karponia|Море Карпонии|卡普尼亚之海|カルポニアの海|잉오니아의 바다|Karponisches Meer
Act_5_5|Temple of Zamjo|Zamjon temppeli|Templo de Zamjo|Храм Замьё|山庙/符文|ザンジョーの神殿|잠조의 사원|Tempel von Zamjo
||||||||
Act_6_1|Highland Graveyard|Ylängön hautuumaa|Cemitério das montanhas|Горное Кладбище|墓园高地/羊头|高原墓地|고원 묘지|Highland-Friedhof
Act_6_2|The Cathedral|Katedraali|A Catedral|Собор|大教堂|大聖堂|성당|Die Kathedrale
Act_6_3|Prison Dungeon|Vankityrmä|Masmorra da prisão|Подземелья Тюрьмы|监狱地牢|プリズン・ダンジョン|지하 감옥|Gefängnis-Verlies
Act_6_4|Steam Train|Höyryjuna|Comboio a vapor|Паровоз|蒸汽火车/红宝石和令牌|蒸気機関車|증기 기관차|Dampfzug
Act_6_5|The Depths of Hell|Helvetin syöverit|As profundezas do inferno|Глубины Ада|地狱深处|地獄の奥底|지옥의 끝|Die Tiefen der Hölle
||||||||
Act_7_1|Deep Space|Syvä Avaruus|Espaço Profundo|Глубокий Космос|深空|ディープスペース|깊은 공간|Tiefer Raum
Act_7_2|Event Horizon|Tapahtumahorisontti|Horizonte de Eventos|Горизонт Событий|视界|イベントホライズン|사상의 지평선|Event-Horizont
Act_7_3|The Black Hole|Musta Aukko|O Buraco Negro|Чёрная Дыра|黑洞|ブラックホール|블랙홀|Das schwarze Loch
Act_7_4|Parallel Dimension|Vastakkainen Todellisuus|Dimensão Paralela|Параллельное Измерение|平行维度|パラレルディメンション|평행 차원|Paralleldimension
Act_7_5|Subconscious Mind|Alitajunta|Subconsciente|Подсознание|潜意识思想|潜在意識|잠재 의식|Unterbewusstsein
||||||||
Act_8_1|Forest of the Slain|Surmattujen metsä|Floresta dos Mortos|Лес Павших|被杀死的森林|殺された森|학살의 숲|Wald der Erschlagenen
Act_8_2|Flooded Plains|Tulinut tasanko|Planícies Inundadas|Затопленные Равнины|泛滥的平原|氾濫した平原|침수 평야|Überflutete Ebenen
Act_8_3|Forgotten Caves|Unohdetut luolat|Cavernas Esquecidas|Забытые Пещеры|被遗忘的洞穴|忘れられた洞窟|잊혀진 동굴|Vergessene Höhlen
Act_8_4|Camp of Souls|Sielujen leiri|Acampamento das almas|Лагерь Душ|灵魂营|魂のキャンプ|영혼의 캠프|Lager der Seelen
Act_8_5|Helheim|Helheim|Helheim|Хельхейм|海尔海姆|ヘルヘイム|헬헤임|Helheim
||||||||
Act_8_Valkyrie|Valhalla Outskirts|Valhallan laitamilla|Periferia de Valhalla|Предместье Вальхаллы|瓦尔哈拉郊外|ヴァルハラ郊外|발할라 외곽|Walhalla Stadtrand
Act_8_Valhalla|Gates of Valhalla|Valhallan portit|Portões de Valhalla|Врата Вальхаллы|瓦尔哈拉之门|ヴァルハラの門|발할라의 문|Tore von Walhalla
Act_8_River|River Gjöll|Gjöll-joki|Rio Gjöll|Река Гьёлль|杰尔河|ギョッル川|Gjöll 강|Fluss Gjöll
Act_8_Mevius_Intro|Memory of Mevius|Meviuksen muisto|Memória de Mevius|Память Мевиуса|记忆的Mevius|メビウスの記憶|뫼비우스의 기억|Erinnerung an Mevius
Act_8_Helheim|Gates of Helheim|Helheimin portti|Gates of Helheim|Gates of Helheim|Gates of Helheim|Gates of Helheim|Gates of Helheim|Gates of Helheim
||||||||
Boss_1_rm|Gurag's Throne|Guragin valtaistuin|Trono de Gurag|Трон Гурага|古拉格的王座|グラゴの玉座|구라그의 왕좌|Gurag-Thron
Boss_2_rm|Grim Reaper's Dungeon|Viikatemiehen tyrmä|Calabouço do Ceifador|Подземелье Смерти|冷血杀手的地牢|グリム・リーパーのダンジョン|사신의 던전|Verlies des Sensenmannes
Boss_3_rm|Anubis Tomb|Anubiksen hauta|Túmulo de Anubis|Гробница Анубиса|阿努比斯之怒|アヌビスのお墓|아누비스의 무덤|Anubis Grab
Boss_4_rm|Damien's Altar|Damienin alttari|Altar de Damien|Алтарь Дэмиена|达米安的祭坛|ダミアンの祭壇|데미언의 제단|Damien-Altar
Boss_5_rm|Karp King's Temple|Karppikuninkaan temppeli|Templo do Rei Karp|Храм Короля Карпов|卡普王的神庙|カープキングの神殿|잉어 왕의 사원|Karp King's Tempel
Boss_6_rm|Seventh Layer of Hell|Helvetin seitsemäs taso|Sétima camada do inferno|Седьмой Круг Ада|地狱第七层|地獄の第七層|지옥의 7층|Siebte Schicht der Hölle
Boss_7_rm|The Verge of Insanity|Hulluuden Raja|El borde de la Locura|Грань Безумия|疯狂的边缘|狂気の瀬戸際|광기의 직전|Der Rand des Wahnsinns
Boss_8_rm|Hall of Helheim|Hall of Helheim|Hall of Helheim|Hall of Helheim|Hall of Helheim|Hall of Helheim|Hall of Helheim|Hall of Helheim
||||||||
Act_1_Boss_Dungeon_1|Forest Temple 1|Metsätemppeli 1|Templo da floresta 1|Лесной Храм 1|森林神庙1|森の神殿1|숲 사원 1|Waldtempel 1
Act_1_Boss_Dungeon_2|Forest Temple 2|Metsätemppeli 2|Templo da floresta 2|Лесной храм 2|森林神庙2|森の寺院2|숲 사원 2|Waldtempel 2
Act_1_Boss_Dungeon_3|Forest Temple 3|Metsätemppeli 3|Templo da floresta 3|Лесной храм 3|森林神庙3|森の寺院3|숲 사원 3|Waldtempel 3
||||||||
Act_2_Boss_Dungeon_1|Glacial Trail 1|Jäätikkötie 1|Trilha glacial 1|Ледниковая тропа 1|冰川小径1|氷河トレイル1|빙하 트레일 1|Gletscherweg 1
Act_2_Boss_Dungeon_2|Glacial Trail 2|Jäätikkötie 2|Trilha glacial 2|Ледяная тропа 2|冰川步道2|氷河トレイル2|빙하 트레일 2|Gletscherweg 2
Act_2_Boss_Dungeon_3|Glacial Trail 3|Jäätikkötie 3|Trilha glacial 3|Ледниковая тропа 3|冰川步道3|氷河トレイル3|빙하 트레일 3|Gletscherweg 3
||||||||
Act_3_Boss_Dungeon_1|Mysterious Pyramid 1|Salaperäinen pyramidi 1|Pirâmide Misteriosa 1|Таинственная пирамида 1|神秘金字塔1|不思議なピラミッド1|신비한 피라미드 1|Geheimnisvolle Pyramide 1
Act_3_Boss_Dungeon_2|Mysterious Pyramid 2|Salaperäinen pyramidi 2|Pirâmide Misteriosa 2|Таинственная пирамида 2|神秘金字塔2|不思議なピラミッド2|신비한 피라미드 2|Geheimnisvolle Pyramide 2
Act_3_Boss_Dungeon_3|Mysterious Pyramid 3|Salaperäinen pyramidi 3|Pirâmide Misteriosa 3|Таинственная пирамида 3|神秘金字塔3|不思議なピラミッド3|신비한 피라미드 3|Geheimnisvolle Pyramide 3
||||||||
Boss_4_1_rm|Damien's Realm|Damienin valtakunta|O reino de Damien|Царство Дэмиена|达米安的领域|ダミアンの王国|데미언의 땅|Damiens Reich
Act_4_Boss_Dungeon_1|Damien's Lair 1|Damienin Luola 1|Covil de Damien 1|Логово Дэмиена 1|达米安的巢穴1|ダミアンの隠れ家1|데미안 스 레어 1|Damiens Versteck 1
Act_4_Boss_Dungeon_2|Damien's Lair 2|Damienin Luola 2|Covil de Damien 2|Логово Дэмиена 2|达米安的巢穴2|ダミアンの隠れ家2|데미안 스 레어 2|Damiens Versteck 2
Act_4_Boss_Dungeon_3|Damien's Lair 3|Damienin Luola 3|Covil de Damien 3|Логово Дэмиена 3|达米安的巢穴3|ダミアンの隠れ家3|데미안 스 레어 3|Damiens Versteck 3
||||||||
Act_5_Boss_Dungeon_1|Water Temple 1|Vesitemppeli 1|Templo da água 1|Храм Воды 1|水神庙1|水の神殿1|물 사원 1|Wassertempel 1
Act_5_Boss_Dungeon_2|Water Temple 2|Vesitemppeli 2|Templo da água 2|Храм Воды 2|水神庙2|水の神殿2|물 사원 2|Wassertempel 2
Act_5_Boss_Dungeon_3|Water Temple 3|Vesitemppeli 3|Templo da água 3|Храм Воды 3|水神庙3|水の神殿3|물 사원 3|Wassertempel 3
||||||||
Act_6_Boss_Dungeon_1|Pathway to hell 1|Polku helvettiin 1|Caminho para o inferno 1|Путь в ад 1|通往地狱的途径1|地獄への道1|지옥의 통로 1|Weg zur Hölle 1
Act_6_Boss_Dungeon_2|Pathway to hell 2|Polku helvettiin 2|Caminho para o inferno 2|Путь в ад 2|通往地狱的途径2|地獄への道2|지옥 2의 통로|Weg zur Hölle 2
Act_6_Boss_Dungeon_3|Pathway to hell 3|Polku helvettiin 3|Caminho para o inferno 3|Путь в ад 3|通往地狱的途径3|地獄への道3|지옥 3의 통로|Weg zur Hölle 3
||||||||
Act_7_Boss_Dungeon_1|The Void 1|Tyhjiö 1|O vazio 1|Ничто 1|虚空1|ボイド1|공허 1|Die Leere 1
Act_7_Boss_Dungeon_2|The Void 2|Tyhjiö 2|O vazio 2|Ничто 2|虚空2|ボイド2|공허 2|Die Leere 2
Act_7_Boss_Dungeon_3|The Void 3|Tyhjiö 3|O vazio 3|Ничто 3|虚无3|ボイド3|공허 3|Die Leere 3
||||||||
Town_rm|Town of Inoya|Inoyan kylä|Cidade de Inoya|Город Иноя|伊诺亚小镇|イノヤ町|이노야 마을|Stadt Inoya
Town_Act_2_rm|Danethorpe|Danethorpe|Danethorpe|Данеторп|邓恩斯洛普|デーンソープ|데인소프|Danethorpe
Town_Act_3_rm|Village of Mos'Arathim|Mos'Arathimin Kylä|Vila de Mos'Arathim|Деревня Мос'Арасим|摩斯奥拉斯姆村|モス・アラティム村|Mos'Arathim의 마을|Dorf von Mos'Arathim
Town_Act_4_rm|Dhorn Farum|Dhorn Farum|Dhorn Farum|Дорн Фарум|迪霍法洛姆|ドーン・ファルム|돈 파룸|Dhorn Farum
Town_Act_5_rm|Shujo Retreat|Shujon piilo|Retiro de Shujo|Лагерь Щуджё|修礁度假村|シュジョー・リトリート|슈조 휴양소|Shujo-Zuflucht
Town_Act_6_rm|Dawn's Chapel|Aamun kappeli|Capela Dawn|Храм Рассвета|黎明的礼拜堂|夜明けのチャペル|새벽의 채플|Kapelle von Dawn
Town_Act_7_rm|Astral Encampment|Astraalileiri|Acampamento Astral|Астральный Лагерь|星际营地|星の野営|별의 야영지|Astrales Feldlager
||||||||
Uber_Inoya_rm|Fallen Inoya|Tuhottu Inoya|Queda de inoya|Руины Иноя|陷落的伊诺亚|陥落したイノヤ|파괴된 이노야|Gefallenes Inoya
Sheep_rm|Sheeponia|Lampola|Sheeponia|Шипония|什普尼亚|シエポニア|양오니아|Sheeponia
PVP_Arena_1_rm|Battlefield|Taistelutanner|Campo de batalha|Поле битвы|战场|戦場|교전지|Schlachtfeld
Anniversary_rm|Old Tarethiel|Vanha Tarethiel|Velho Tarethiel|Старый Таретиэль|古老的塔雷蒂尔|老タレティエル|올드 타레티엘|Altes Tarethiel
Player_Hideout_rm|Player Hideout|Pelaajan piilopaikka|Esconderijo do jogador|Убежище|玩家藏身处|プレイヤーハイドアウト|플레이어 은신처|Spielerversteck
||||||||
Black_Tower_1_rm|Black Tower Level 1|Pimeä Torni Taso 1|Torre Negra Nível 1|Черная Башня, Уровень 1|黑塔 1级|黒の塔レベル 1|검은 탑 레벨 1|Schwarzer Turm Level 1
Black_Tower_2_rm|Black Tower Level 2|Pimeä Torni Taso 2|Torre Negra Nível 2|Черная Башня, Уровень 2|黑塔 2级|黒の塔レベル 2|검은 탑 레벨 2|Schwarzer Turm Level 2
Black_Tower_3_rm|Black Tower Level 3|Pimeä Torni Taso 3|Torre Negra Nível 3|Черная Башня, Уровень 3|黑塔 3级|黒の塔レベル 3|검은 탑 레벨 3|Schwarzer Turm Level 3
Black_Tower_4_rm|Black Tower Level 4|Pimeä Torni Taso 4|Torre Negra Nível 4|Черная Башня, Уровень 4|黑塔 3级|黒の塔レベル 4|검은 탑 레벨 4|Schwarzer Turm Level 4
Black_Tower_5_rm|Black Tower Level 5|Pimeä Torni Taso 5|Torre Negra Nível 5|Черная Башня, Уровень 5|黑塔 3级|黒の塔レベル 5|검은 탑 레벨 5|Schwarzer Turm Level 5
||||||||
Rat_Den_1_rm|Rat Den Level 1|Rottaluola Taso 1|Toca do Rato Nível 1|Крысиное Логово, Уровень 1|鼠洞 1级|ドブネズミの巣窟レベル 1|쥐 동굴 레벨 1|Rattenbau Level 1
Rat_Den_2_rm|Rat Den Level 2|Rottaluola Taso 2|Toca do Rato Nível 2|Крысиное Логово, Уровень 2|鼠洞 2级|ドブネズミの巣窟レベル 2|쥐 동굴 레벨 2|Rattenbau Level 2
||||||||
Frozen_Cellar_1_rm|Frozen Cellar Level 1|Jäätynyt Kellari Taso 1|Porão Congelado Nível 1|Ледяной Подвал, Уровень 1|冻地窖1级|フローズンセラー レベル1|냉동 저장실 레벨 1|Gefrorener Keller Level 1
Frozen_Cellar_2_rm|Frozen Cellar Level 2|Jäätynyt Kellari Taso 2|Porão Congelado Nível 2|Ледяной Подвал, Уровень 2|冻地窖2级|フローズンセラー レベル2|냉동 저장실 레벨 2|Gefrorener Keller Level 2
||||||||
Pumpkin_Cellar_1_rm|Pumpkin Cellar Level 1|Kurpitsakellari Taso 1|Porão de Abóbora Nível 1|Тыквенный Погреб, Уровень 2|南瓜地下室1级|パンプキンセラー レベル1|호박 저장실 레벨 1|Kürbiskeller Level 1
Pumpkin_Cellar_2_rm|Pumpkin Cellar Level 2|Kurpitsakellari Taso 2|Porão de Abóbora Nível Level 2|Тыквенный Погреб, Уровень 2|南瓜地下室2级|パンプキンセラー レベル2|호박 저장실 레벨 2|Kürbiskeller Level 2
||||||||
Abandoned_Mine_1_rm|Abandoned Mine|Hylätty Kaivos|Mina Abandonada|Заброшенная Шахта|废弃矿井|廃坑|버려진 광산|Verlassene Mine
||||||||
Forgotten_City_1_rm|Forgotten City Level 1|Kadonnut Kaupunki Taso 1|Cidade Esquecida Nível 1|Затерянный Город, Уровень 1|被遗忘的城市1级|忘却都市 レベル1|잊혀진 도시 레벨 1|Vergessene Stadt Level 1
Forgotten_City_2_rm|Forgotten City Level 2|Kadonnut Kaupunki Taso 2|Cidade Esquecida Nível 2|Затерянный Город, Уровень 2|被遗忘的城市2级|忘却都市 レベル2|잊혀진 도시 레벨 2|Vergessene Stadt Level 2
||||||||
Ancient_City_1_rm|Ancient City Level 1|Muinainen kaupunki, taso 1|Cidade Antiga Nível 1|Древний Город, Уровень 1|1级古城|古代都市レベル1|고대 도시 레벨 1|Antike Stadt Level 1
Ancient_City_2_rm|Ancient City Level 2|Muinainen kaupunki, taso 2|Cidade Antiga Nível 2|Древний Город, Уровень 2|2级古城|古代都市レベル2|고대 도시 레벨 2|Antike Stadt Level 2
Ancient_City_3_rm|Ancient City Level 3|Muinainen kaupunki, taso 3|Cidade Antiga Nível 3|Древний Город, Уровень 3|3级古城|古代都市レベル3|고대 도시 레벨 3|Antike Stadt Level 3
||||||||
Sand_Cave_1_rm|Sand Cave Level 1|Hiekkaluola, taso 1|Caverna de Areia Nível 1|Песчаная Пещера, Уровень 1|沙洞1级|砂の洞窟レベル1|모래 동굴 레벨 1|Sandhöhle Level 1
Sand_Cave_2_rm|Sand Cave Level 2|Hiekkaluola, taso 2|Sand Cave Nível 2|Песчаная Пещера, Уровень 2|沙洞2级|砂の洞窟レベル2|모래 동굴 2 층|Sandhöhle Level 2
||||||||
Cauflax_Tomb_1_rm|Cauflax Tomb Level 1|Cauflax-hauta, taso 1|Tumba Cauflax Nível 1|Гробница Кауфлакс, Уровень 1|卡夫拉克斯墓1级|コーフラックスの墓レベル1|Cauflax 무덤 레벨 1|Cauflax Grab Level 1
Cauflax_Tomb_2_rm|Cauflax Tomb Level 2|Cauflax-hauta, taso 2|Túmulo Cauflax Nível 2|Гробница Кауфлакс, Уровень 2|卡夫拉克斯墓2级|コーフラックスの墓レベル2|Cauflax 무덤 2 층|Cauflax Grab Level 2
Cauflax_Tomb_3_rm|Cauflax Tomb Level 3|Cauflax-hauta, taso 3|Tumba Cauflax Nível 3|Гробница Кауфлакс, Уровень 3|卡夫拉克斯墓3级|コーフラックスの墓レベル3|Cauflax 무덤 레벨 3|Cauflax Grab Level 3
||||||||
Devils_Hole_1_rm|Devil's Hole Level 1|Paholaisen reikä, taso 1|Buraco do Diabo Nível 1|Дьявольская Дыра, Уровень 1|魔鬼之穴1级|悪魔の穴レベル1|악마의 구멍 레벨 1|Teufelsloch Stufe 1
Devils_Hole_2_rm|Devil's Hole Level 2|Paholaisen reikä, taso 2|Buraco do Diabo Nível 2|Дьявольская Дыра, Уровень 2|魔鬼之穴2级|デビルズホールレベル2|악마의 구멍 레벨 2|Teufelsloch Stufe 2
Devils_Hole_3_rm|Devil's Hole Level 3|Paholaisen reikä, taso 3|Devil's Hole Nível 3|Дьявольская Дыра, Уровень 3|魔鬼之洞3级|デビルズホールレベル3|악마의 구멍 레벨 3|Teufelsloch Stufe 3
||||||||
Fuji_Crater_1_rm|Fuji Crater Level 1|Fuji-kraatteri, taso 1|Nível 1 da cratera Fuji|Кратер горы Фудзи, Уровень 1|富士火山口1级|富士クレーターレベル1|후지 분화구 레벨 1|Fuji-Krater Stufe 1
Fuji_Crater_2_rm|Fuji Crater Level 2|Fuji-kraatteri, taso 2|Nível 2 da cratera Fuji|Кратер горы Фудзи, Уровень 2|富士陨石坑2级|富士クレーターレベル2|후지 분화구 레벨 2|Fuji-Krater Stufe 2
||||||||
Kaojin_Temple_1_rm|Kaojin Temple 1|Kaojinin temppeli|Kaojin Temple|Храм Каоджин|Kaojin Temple|Kaojin Temple|Kaojin Temple|Kaojin Temple
Kaojin_Temple_2_rm|Kaojin Temple 2|Kaojinin temppeli|Kaojin Temple|Храм Каоджин|Kaojin Temple|Kaojin Temple|Kaojin Temple|Kaojin Temple
||||||||
Underground_Garden_1_rm|Underground Garden 1|Maanalainen Puutarha 1|Underground Garden 1|Underground Garden 1|Underground Garden 1|Underground Garden 1|Underground Garden 1|Underground Garden 1
Underground_Garden_2_rm|Underground Garden 2|Maanalainen Puutarha 2|Underground Garden 2|Underground Garden 2|Underground Garden 2|Underground Garden 2|Underground Garden 2|Underground Garden 2
Underground_Garden_3_rm|Underground Garden 3|Maanalainen Puutarha 3|Underground Garden 3|Underground Garden 3|Underground Garden 3|Underground Garden 3|Underground Garden 3|Underground Garden 3
Underground_Garden_4_rm|Underground Garden 4|Maanalainen Puutarha 4|Underground Garden 4|Underground Garden 4|Underground Garden 4|Underground Garden 4|Underground Garden 4|Underground Garden 4
Underground_Garden_5_rm|Underground Garden 5|Maanalainen Puutarha 5|Underground Garden 5|Underground Garden 5|Underground Garden 5|Underground Garden 5|Underground Garden 5|Underground Garden 5
||||||||
Temple_Trapdoor_1_rm|Temple Trapdoor 1|Temppelin Luukku 1|Temple Trapdoor 1|Temple Trapdoor 1|Temple Trapdoor 1|Temple Trapdoor 1|Temple Trapdoor 1|Temple Trapdoor 1
Temple_Trapdoor_2_rm|Temple Trapdoor 2|Temppelin Luukku 2|Temple Trapdoor 2|Temple Trapdoor 2|Temple Trapdoor 2|Temple Trapdoor 2|Temple Trapdoor 2|Temple Trapdoor 2
||||||||
Unmarked_Grave_1_rm|Unmarked Grave 1|Merkitsemätön Hauta 1|Unmarked Grave 1|Unmarked Grave 1|Unmarked Grave 1|Unmarked Grave 1|Unmarked Grave 1|Unmarked Grave 1
Unmarked_Grave_2_rm|Unmarked Grave 2|Merkitsemätön Hauta 2|Unmarked Grave 2|Unmarked Grave 2|Unmarked Grave 2|Unmarked Grave 2|Unmarked Grave 2|Unmarked Grave 2
||||||||
Distorted_Horizons_1_rm|Distorted Horizon 1|Vääristynyt Horisontti 1|Distorted Horizon 1|Distorted Horizon 1|Distorted Horizon 1|Distorted Horizon 1|Distorted Horizon 1|Distorted Horizon 1
Distorted_Horizons_2_rm|Distorted Horizon 2|Vääristynyt Horisontti 2|Distorted Horizon 2|Distorted Horizon 2|Distorted Horizon 2|Distorted Horizon 2|Distorted Horizon 2|Distorted Horizon 2
||||||||
Arm_Storage_1_rm|Arm Storage|Asevarasto|Arm Storage|Arm Storage|Arm Storage|Arm Storage|Arm Storage|Arm Storage
